============================================================
log10(x) x                          f(x)=(x^3)/6/(sinh(x)-x)
-9.59000 2.5703957827688638007e-10 1. 
-9.58000 2.63026799189538191729e-10 1. 
-9.57000 2.6915348039269157174e-10 1. 
-9.56000 2.75422870333816644863e-10 1. 
-9.55000 2.8183829312644538191e-10 1. 
-9.54000 2.88403150312660594239e-10 1. 
-9.53000 2.95120922666638570793e-10 1. 
-9.52000 3.01995172040201619863e-10 1. 
-9.51000 3.09029543251359051955e-10 1. 
-9.50000 3.162277660168379332e-10 1. 
-9.49000 3.23593656929628262679e-10 0.99999999999999999999 
-9.48000 3.31131121482591094302e-10 0.99999999999999999999 
-9.47000 3.38844156139202547048e-10 0.99999999999999999999 
-9.46000 3.46736850452531639453e-10 0.99999999999999999999 
-9.45000 3.54813389233575458433e-10 0.99999999999999999999 
-9.44000 3.63078054770101342467e-10 0.99999999999999999999 
-9.43000 3.71535229097172538617e-10 0.99999999999999999999 
-9.42000 3.8018939632056119615e-10 0.99999999999999999999 
-9.41000 3.89045144994280601094e-10 0.99999999999999999999 
-9.40000 3.9810717055349725077e-10 0.99999999999999999999 
-9.39000 4.07380277804112730505e-10 0.99999999999999999999 
-9.38000 4.16869383470335401771e-10 0.99999999999999999999 
-9.37000 4.26579518801592658005e-10 0.99999999999999999999 
-9.36000 4.36515832240165967464e-10 0.99999999999999999999 
-9.35000 4.46683592150963118556e-10 0.99999999999999999999 
-9.34000 4.57088189614875029e-10 0.99999999999999999999 
-9.33000 4.67735141287198193582e-10 0.99999999999999999999 
-9.32000 4.78630092322638343922e-10 0.99999999999999999999 
-9.31000 4.8977881936844619591e-10 0.99999999999999999999 
-9.30000 5.01187233627272285002e-10 0.99999999999999999999 
-9.29000 5.12861383991364855546e-10 0.99999999999999999999 
-9.28000 5.24807460249772597364e-10 0.99999999999999999999 
-9.27000 5.37031796370252730904e-10 0.99999999999999999999 
-9.26000 5.49540873857624552094e-10 0.99999999999999999998 
-9.25000 5.62341325190349080395e-10 0.99999999999999999998 
-9.24000 5.75439937337156930062e-10 0.99999999999999999998 
-9.23000 5.88843655355588967267e-10 0.99999999999999999998 
-9.22000 6.02559586074357746971e-10 0.99999999999999999998 
-9.21000 6.1659500186148216632e-10 0.99999999999999999998 
-9.20000 6.30957344480193249434e-10 0.99999999999999999998 
-9.19000 6.45654229034655515878e-10 0.99999999999999999998 
-9.18000 6.6069344800759600651e-10 0.99999999999999999998 
-9.17000 6.76082975391981771059e-10 0.99999999999999999998 
-9.16000 6.91830970918936487534e-10 0.99999999999999999998 
-9.15000 7.07945784384137910802e-10 0.99999999999999999997 
-9.14000 7.24435960074990063551e-10 0.99999999999999999997 
-9.13000 7.41310241300917514913e-10 0.99999999999999999997 
-9.12000 7.58577575029183768754e-10 0.99999999999999999997 
-9.11000 7.76247116628691733894e-10 0.99999999999999999997 
-9.10000 7.94328234724281502066e-10 0.99999999999999999997 
-9.09000 8.12830516164099246541e-10 0.99999999999999999997 
-9.08000 8.31763771102671006167e-10 0.99999999999999999997 
-9.07000 8.51138038202376467817e-10 0.99999999999999999996 
-9.06000 8.70963589956080637511e-10 0.99999999999999999996 
-9.05000 8.91250938133745529953e-10 0.99999999999999999996 
-9.04000 9.12010839355909742121e-10 0.99999999999999999996 
-9.03000 9.33254300796991043532e-10 0.99999999999999999996 
-9.02000 9.54992586021435949724e-10 0.99999999999999999995 
-9.01000 9.77237220955810682697e-10 0.99999999999999999995 
-9.00000 1.e-9 0.99999999999999999995 
-8.99000 1.02329299228075413097e-9 0.99999999999999999995 
-8.98000 1.04712854805089953346e-9 0.99999999999999999995 
-8.97000 1.07151930523760641741e-9 0.99999999999999999994 
-8.96000 1.09647819614318501314e-9 0.99999999999999999994 
-8.95000 1.12201845430196343559e-9 0.99999999999999999994 
-8.94000 1.14815362149688275155e-9 0.99999999999999999993 
-8.93000 1.17489755493952954172e-9 0.99999999999999999993 
-8.92000 1.20226443461741290583e-9 0.99999999999999999993 
-8.91000 1.23026877081238153424e-9 0.99999999999999999992 
-8.90000 1.25892541179416721042e-9 0.99999999999999999992 
-8.89000 1.28824955169313396284e-9 0.99999999999999999992 
-8.88000 1.31825673855640710205e-9 0.99999999999999999991 
-8.87000 1.34896288259165360925e-9 0.99999999999999999991 
-8.86000 1.38038426460288483784e-9 0.9999999999999999999 
-8.85000 1.41253754462275430216e-9 0.9999999999999999999 
-8.84000 1.44543977074592751193e-9 0.9999999999999999999 
-8.83000 1.4791083881682074222e-9 0.99999999999999999989 
-8.82000 1.51356124843620816246e-9 0.99999999999999999989 
-8.81000 1.54881661891248134467e-9 0.99999999999999999988 
